name,label
Actor_01/03-01-01-01-01-01-01,0
Actor_01/03-01-01-01-01-02-01,0
Actor_01/03-01-01-01-02-01-01,0
Actor_01/03-01-01-01-02-02-01,0
Actor_01/03-01-02-01-01-01-01,1
Actor_01/03-01-02-01-01-02-01,1
Actor_01/03-01-02-01-02-01-01,1
Actor_01/03-01-02-01-02-02-01,1
Actor_01/03-01-02-02-01-01-01,1
Actor_01/03-01-02-02-01-02-01,1
Actor_01/03-01-02-02-02-01-01,1
Actor_01/03-01-02-02-02-02-01,1
Actor_01/03-01-03-01-01-01-01,2
Actor_01/03-01-03-01-01-02-01,2
Actor_01/03-01-03-01-02-01-01,2
Actor_01/03-01-03-01-02-02-01,2
Actor_01/03-01-03-02-01-01-01,2
Actor_01/03-01-03-02-01-02-01,2
Actor_01/03-01-03-02-02-01-01,2
Actor_01/03-01-03-02-02-02-01,2
Actor_01/03-01-04-01-01-01-01,3
Actor_01/03-01-04-01-01-02-01,3
Actor_01/03-01-04-01-02-01-01,3
Actor_01/03-01-04-01-02-02-01,3
Actor_01/03-01-04-02-01-01-01,3
Actor_01/03-01-04-02-01-02-01,3
Actor_01/03-01-04-02-02-01-01,3
Actor_01/03-01-04-02-02-02-01,3
Actor_01/03-01-05-01-01-01-01,4
Actor_01/03-01-05-01-01-02-01,4
Actor_01/03-01-05-01-02-01-01,4
Actor_01/03-01-05-01-02-02-01,4
Actor_01/03-01-05-02-01-01-01,4
Actor_01/03-01-05-02-01-02-01,4
Actor_01/03-01-05-02-02-01-01,4
Actor_01/03-01-05-02-02-02-01,4
Actor_01/03-01-06-01-01-01-01,5
Actor_01/03-01-06-01-01-02-01,5
Actor_01/03-01-06-01-02-01-01,5
Actor_01/03-01-06-01-02-02-01,5
Actor_01/03-01-06-02-01-01-01,5
Actor_01/03-01-06-02-01-02-01,5
Actor_01/03-01-06-02-02-01-01,5
Actor_01/03-01-06-02-02-02-01,5
Actor_01/03-01-07-01-01-01-01,6
Actor_01/03-01-07-01-01-02-01,6
Actor_01/03-01-07-01-02-01-01,6
Actor_01/03-01-07-01-02-02-01,6
Actor_01/03-01-07-02-01-01-01,6
Actor_01/03-01-07-02-01-02-01,6
